postcode,Owned outright,Owned with a mortgage,Being purchased under a shared equity scheme,Rented,Being occupied rent-free,Being occupied under a life tenure scheme,Other tenure type,Not stated,Not applicable,Total
"2156, NSW",112,7,0,20,4,110,27,18,41,333
"2157, NSW",0,0,0,3,0,0,0,0,0,3
"2158, NSW",37,7,0,7,0,0,0,5,9,63
"2159, NSW",13,0,0,0,0,8,0,5,4,26
"2160, NSW",105,99,0,343,0,18,10,48,60,682
"2161, NSW",58,93,0,334,0,0,0,62,40,585
"2162, NSW",37,51,0,159,3,3,0,25,33,304
"2163, NSW",3,6,0,43,0,0,0,19,18,84
"2164, NSW",31,54,0,105,0,0,0,20,10,220
"2165, NSW",53,55,0,256,3,0,0,33,29,430
"2166, NSW",19,23,5,181,3,5,0,23,38,286
"2167, NSW",87,116,0,159,0,5,0,24,25,413
"2168, NSW",65,145,0,200,8,0,0,39,34,489
"2170, NSW",167,116,3,370,6,28,9,139,89,920
"2171, NSW",8,19,0,33,6,0,0,5,4,72
"2172, NSW",0,0,0,0,0,0,0,0,0,0
"2173, NSW",0,3,0,8,0,0,0,0,0,17
"2174, NSW",0,0,0,3,0,0,0,0,0,3
"2175, NSW",0,0,0,0,0,0,0,0,0,0
"2176, NSW",87,93,0,225,3,10,0,49,29,493
"2177, NSW",0,9,0,220,0,6,0,14,6,254
"2178, NSW",0,0,0,0,0,0,0,0,0,3
"2179, NSW",5,0,0,4,0,0,0,4,0,15
"2190, NSW",51,86,0,274,0,9,5,33,62,518
"2191, NSW",81,78,0,99,8,3,4,14,13,306
"2192, NSW",26,48,0,72,0,0,0,17,12,180
"2193, NSW",81,105,0,78,3,0,0,19,25,301
"2194, NSW",75,56,0,99,4,0,0,21,22,271
"2195, NSW",33,29,0,22,4,0,0,11,7,107
"2196, NSW",57,81,0,138,7,5,0,35,17,328
"2197, NSW",41,40,0,83,0,0,0,22,15,205
"2198, NSW",17,20,0,9,0,0,0,6,6,60
"2199, NSW",27,52,0,81,0,0,0,13,8,183
"2200, NSW",102,115,0,135,4,6,3,44,32,437
"2203, NSW",148,174,0,102,8,0,0,20,25,484
"2204, NSW",442,545,3,462,10,5,4,89,103,1662
