postcode,nil,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)"
2806,4,5,3,12,23,12,38,24,35,18,19,14,22,12,4,4,4,0,4,3,0
2807,0,0,11,11,12,4,32,19,12,10,3,4,7,4,5,5,0,0,0,0,0
2808,0,0,8,7,3,0,14,14,5,6,0,0,5,4,3,4,0,0,0,0,0
2809,0,0,0,7,3,3,14,4,11,5,0,0,5,0,0,0,0,0,0,0,0
2810,15,16,36,60,171,64,152,104,118,102,60,44,76,42,26,16,4,9,4,12,0
2817,7,0,0,5,9,5,15,13,9,8,3,10,10,0,0,3,0,0,0,4,0
2818,0,5,7,7,22,4,21,29,29,19,10,11,35,17,15,12,4,0,0,0,0
2820,25,17,92,118,246,141,235,153,171,152,113,92,112,70,48,29,13,16,6,11,0
2821,26,18,45,42,126,99,159,117,128,123,101,86,142,73,45,34,19,11,9,5,0
2822,3,3,4,9,10,10,21,12,18,13,3,5,11,5,8,7,0,0,0,0,0
2823,5,11,14,20,40,32,47,43,45,33,11,27,46,28,19,3,0,3,3,3,0
2824,5,4,32,24,65,25,74,63,64,61,41,44,77,34,12,14,4,7,3,11,0
2825,4,3,22,30,84,34,74,68,54,41,44,35,84,42,35,27,10,8,8,4,0
2826,0,0,4,0,0,0,7,4,13,3,3,0,10,5,7,5,0,0,0,0,0
2827,14,7,30,59,136,70,151,116,140,86,76,58,97,53,29,18,4,8,6,7,0
2828,5,0,8,19,23,17,34,19,36,18,8,7,12,12,14,7,0,0,0,0,4
2829,9,7,34,41,97,63,87,69,92,94,54,57,76,36,24,7,6,5,4,4,0
2830,130,52,205,326,785,549,950,931,1128,1019,829,836,1413,898,548,347,155,156,115,83,16
2831,8,4,14,18,53,30,45,44,54,52,41,40,74,31,17,14,3,3,0,0,0
2832,18,9,30,31,46,29,67,49,56,48,42,32,52,30,16,15,7,5,3,6,0
2833,0,0,7,11,27,14,27,22,15,9,7,8,21,0,7,3,5,0,0,0,0
2834,19,12,42,75,120,70,87,76,81,51,27,17,24,11,9,3,7,3,0,4,0
2835,16,8,27,46,77,42,113,75,60,86,76,79,179,110,77,60,29,35,13,12,0
2836,11,3,7,11,19,16,24,18,27,23,10,13,11,7,0,5,0,3,0,7,0
2838,0,4,5,13,4,12,13,7,7,3,5,5,9,9,6,0,0,0,0,0,0
2839,6,5,23,26,43,25,28,39,27,30,24,13,15,10,4,7,0,3,0,0,0
2840,13,3,22,21,49,28,63,59,62,61,36,44,70,49,35,26,4,9,3,3,0
2842,3,0,6,7,38,16,36,26,15,16,7,4,17,7,3,3,0,3,0,0,0
2843,9,8,9,23,35,20,43,43,43,42,13,21,30,21,4,5,0,0,0,10,0
2844,0,9,16,25,61,29,57,38,41,33,17,23,26,16,3,3,3,4,3,0,0
2845,7,4,17,22,44,20,36,29,32,27,24,26,50,24,10,10,9,8,0,6,0
2846,0,9,4,4,16,7,14,12,8,4,4,5,3,3,0,0,0,0,0,0,0
2847,12,6,28,27,84,34,72,65,67,61,28,25,51,25,20,10,13,6,3,0,0
2848,12,13,31,39,124,29,94,50,57,32,30,18,32,14,4,5,0,5,0,4,0
2849,27,7,11,38,75,36,64,50,42,42,26,26,39,20,18,9,0,10,0,3,0
2850,73,54,117,195,502,285,510,427,478,430,295,336,596,354,218,203,109,103,75,43,6
2852,18,11,28,39,138,53,118,82,103,73,54,62,113,69,38,20,16,6,8,3,0
2864,7,0,9,9,27,7,20,14,23,27,13,11,25,22,7,11,0,0,0,3,0
2865,4,0,12,10,32,9,20,18,22,30,19,13,26,13,15,4,0,0,3,0,0
2866,17,10,20,21,77,54,91,70,75,85,49,48,110,62,33,18,10,9,9,3,4
2867,7,4,3,6,11,15,27,15,22,12,10,8,12,10,13,0,0,5,4,0,0
2868,3,3,4,6,28,9,24,20,23,15,12,13,19,9,7,9,0,0,0,0,0
2869,9,14,17,22,83,36,56,43,47,23,25,21,43,19,9,9,4,4,3,0,0
2870,47,26,95,161,329,185,325,299,323,315,234,229,384,223,140,84,40,43,15,23,0
2871,31,27,84,123,279,173,321,271,319,270,150,165,288,137,97,58,27,13,16,13,5
2873,10,0,8,11,30,17,16,7,12,7,7,8,16,5,6,0,0,0,0,0,0
2874,3,0,6,9,23,0,14,13,14,9,9,7,16,4,0,0,0,0,0,0,0
2875,6,0,11,24,28,23,29,24,19,25,22,19,33,14,11,3,3,0,0,0,0
2876,5,6,3,0,4,5,11,15,12,15,4,8,9,6,0,4,0,0,0,0,0
2877,18,9,36,64,116,95,127,109,137,76,75,61,111,43,27,24,8,13,0,6,5
2878,0,0,5,4,6,6,4,5,11,8,0,9,15,0,3,4,0,0,0,0,3
2879,5,10,11,9,37,16,18,32,23,12,4,10,10,5,3,3,0,0,0,0,0
2880,71,40,223,356,837,447,709,535,591,461,346,367,536,325,190,143,84,47,37,26,5
2898,0,0,0,6,4,4,13,11,14,10,11,8,19,9,0,4,3,0,0,0,0
3000,0,3,0,0,0,7,0,0,4,0,3,4,5,0,0,7,0,0,0,4,0
3002,4,0,0,3,8,6,12,22,24,22,15,13,41,32,31,69,23,23,46,60,13
3003,11,4,13,7,27,5,29,16,28,44,30,25,66,30,46,44,18,16,18,27,3
3004,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
3006,4,0,3,0,4,7,4,8,14,11,3,14,13,6,12,7,5,4,5,9,0
3008,18,0,0,0,0,0,0,7,7,3,0,10,10,5,8,6,3,6,7,5,0
3011,86,49,105,121,236,126,263,236,306,305,308,303,588,424,277,267,130,140,108,90,5
3012,138,58,192,230,440,278,450,415,542,497,468,472,869,615,459,384,182,147,144,94,6
3013,69,34,88,86,224,125,232,207,294,240,247,276,557,443,377,366,166,199,186,162,0
3015,83,32,90,121,244,156,276,255,315,317,283,310,685,516,436,431,212,224,189,181,15
3016,62,40,71,79,199,124,169,214,264,248,197,233,504,334,286,364,194,245,262,236,25
3018,63,33,87,127,359,213,272,299,356,305,268,235,498,348,263,191,100,101,87,51,0
3019,64,40,137,175,235,149,225,223,259,211,161,145,231,131,95,41,24,11,16,7,3
3020,320,143,396,425,1066,633,1151,1076,1202,1064,813,733,1212,732,432,277,130,83,77,37,6
3021,445,178,554,564,1370,779,1563,1308,1596,1326,1036,826,1236,694,367,220,113,64,50,38,10
3022,18,17,31,46,100,48,70,79,103,104,56,51,115,61,19,14,9,12,5,4,0
3023,299,110,282,302,786,613,1128,1174,1567,1545,1314,1274,2364,1549,873,575,318,206,194,99,10
3024,79,29,92,119,294,286,437,537,705,769,624,525,1002,531,307,174,89,50,46,22,0
3025,71,38,96,144,359,148,359,245,312,280,251,220,350,264,188,132,50,55,38,19,0
3026,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
3027,39,10,15,12,20,32,45,95,109,126,129,132,315,247,152,134,55,63,37,21,3
3028,180,68,209,244,574,364,681,761,884,806,707,639,1122,656,401,240,138,100,62,36,0
3029,357,143,370,360,879,870,1480,1856,2455,2491,2131,2002,3769,2188,1216,778,370,302,207,126,13
3030,524,186,486,565,1270,1039,1665,1943,2455,2421,2145,2035,4137,2580,1667,1283,634,542,470,263,30
3031,65,32,77,103,197,115,155,200,204,227,237,226,491,354,302,320,139,180,196,152,11
3032,102,53,119,125,261,178,331,317,425,409,393,392,839,599,473,471,273,267,306,220,16
3033,75,55,95,119,324,167,384,344,365,353,285,254,513,390,261,203,104,85,77,54,4
3034,79,50,72,94,321,176,402,228,302,276,220,230,388,246,167,134,71,52,59,30,8
3036,35,17,34,27,118,71,117,117,143,119,92,116,207,154,96,96,55,59,62,52,6
3037,215,80,207,217,497,434,792,876,1269,1167,1032,1056,2088,1284,786,478,254,210,164,113,13
3038,149,73,135,142,405,258,540,503,612,586,571,528,957,719,457,333,185,167,134,85,10
3039,36,27,56,86,160,112,176,178,206,181,183,193,415,325,226,271,160,173,189,154,18
3040,94,51,82,134,277,190,328,309,407,410,359,338,708,533,404,457,261,302,298,267,44
3041,44,22,35,66,159,106,188,190,241,196,182,193,427,301,235,216,132,137,155,105,11
3042,81,43,103,155,393,206,443,366,457,435,346,304,634,455,261,238,104,90,76,67,10
3043,106,51,112,169,444,272,505,527,606,511,436,386,678,418,257,147,47,63,48,19,3
3044,153,73,163,223,553,321,535,508,700,648,600,547,1085,756,530,407,211,211,139,101,12
3045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3046,194,97,253,379,904,445,857,788,934,870,718,688,1145,727,452,292,130,107,118,44,4
3047,139,51,193,238,475,304,513,494,565,401,296,235,325,143,71,60,24,22,11,13,6
3048,101,52,169,180,385,307,520,450,549,464,293,230,344,167,67,53,25,21,15,13,3
3049,40,16,62,58,162,114,186,228,236,243,206,190,379,266,164,88,50,36,37,22,4
3051,41,24,36,55,65,60,67,84,107,128,103,103,209,141,119,122,64,87,60,81,10
3052,16,5,18,4,22,19,30,22,40,28,24,29,68,35,34,62,24,35,46,49,8
3053,31,8,25,20,35,49,47,67,73,55,65,71,138,74,70,91,46,35,46,55,6
3054,24,10,32,29,76,63,91,111,148,157,147,125,261,211,144,196,112,107,123,117,18
3055,54,29,81,73,181,121,208,198,236,215,204,187,371,269,195,176,94,108,112,79,11
3056,103,57,154,172,340,202,310,287,405,412,351,358,805,521,412,411,191,196,181,145,15
3057,33,27,60,71,166,87,149,132,193,159,150,153,323,237,189,153,86,88,91,77,8
3058,209,116,280,306,675,400,651,547,763,726,629,651,1291,897,634,500,265,241,205,129,8
3059,75,27,42,32,119,97,207,203,283,298,277,272,626,434,283,231,130,101,95,72,22
3060,100,34,112,170,423,218,456,341,389,322,254,219,418,226,131,79,26,44,18,20,0
3061,31,20,42,43,138,71,181,123,141,104,80,67,105,38,15,13,4,0,7,5,0
3062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3063,0,0,0,0,0,3,4,13,7,18,10,4,30,8,5,10,13,3,0,3,4
3064,310,117,305,316,828,768,1332,1557,1996,1916,1574,1517,2640,1488,840,552,249,160,151,88,10
3065,20,14,28,22,46,35,64,64,98,80,69,82,195,143,98,161,71,83,83,98,13
3066,22,11,35,47,64,23,45,46,49,52,45,51,130,101,84,85,39,38,35,34,0
3067,17,14,37,37,63,26,44,44,64,80,57,72,158,117,95,113,65,58,61,48,0
3068,66,30,70,97,240,158,196,197,251,208,218,230,532,345,333,434,197,245,280,261,23
3070,79,43,146,185,386,211,370,294,406,408,391,351,741,523,477,457,254,297,336,258,15
3071,64,38,110,130,286,184,321,275,350,358,314,334,635,448,298,279,153,172,123,102,5
3072,161,114,250,322,716,383,660,605,763,714,613,587,1124,763,516,394,182,167,121,63,12
3073,329,165,493,620,1464,866,1504,1347,1614,1476,1151,1035,1737,1074,540,412,174,164,118,52,9
3074,175,58,156,209,684,293,777,525,614,509,398,311,508,255,160,103,50,33,16,17,0
3075,166,75,161,205,612,288,768,554,608,631,416,364,674,341,176,106,62,35,29,22,8
3076,135,72,170,199,499,391,737,732,972,892,741,704,1238,691,351,210,107,66,60,40,6
3078,38,22,49,66,146,83,137,122,176,175,134,155,341,269,197,195,145,128,153,161,18
3079,82,32,65,86,172,135,186,197,258,256,250,229,465,309,251,312,190,243,280,241,28
3081,77,52,160,214,356,231,341,306,401,321,295,238,486,292,147,109,53,30,33,30,0
3082,138,60,126,172,463,338,656,701,802,805,672,670,1127,720,451,269,167,107,93,40,3
3083,267,88,176,216,553,383,745,644,824,696,633,535,1041,682,393,277,156,144,104,62,10
3084,120,54,118,165,422,261,458,410,558,467,427,444,892,657,462,477,280,291,259,183,27
3085,50,26,71,111,233,188,282,297,335,322,280,265,566,386,318,210,120,123,116,57,7
3087,46,24,56,84,197,136,230,245,267,208,193,216,399,273,194,118,49,45,49,19,0
3088,107,42,99,194,464,314,514,554,703,650,617,597,1207,858,563,408,236,169,160,87,15
3089,41,16,35,47,115,104,165,158,226,222,241,216,479,376,292,221,125,104,109,46,12
3090,3,8,4,7,13,15,21,20,31,33,35,30,58,76,57,38,35,32,40,27,4
3091,15,0,4,4,13,11,16,22,27,31,28,20,37,37,38,26,13,18,13,21,0
3093,17,4,13,18,55,45,59,69,99,91,72,68,145,98,79,65,42,47,30,38,3
3094,32,11,49,66,147,111,228,186,243,248,194,205,424,312,193,142,82,81,48,23,3
3095,73,52,101,109,280,214,336,361,520,503,449,480,1078,808,622,540,384,375,303,174,28
3096,6,0,8,9,16,17,26,21,45,35,46,50,69,61,35,24,16,11,15,5,0
3097,6,7,4,7,7,4,19,16,28,19,14,25,46,33,25,29,15,17,16,28,5
3099,7,14,22,33,60,50,63,80,137,125,90,112,199,159,115,49,40,27,28,15,8
3101,152,61,107,86,186,191,182,228,314,311,241,258,602,437,306,482,295,347,405,507,99
3102,29,14,21,24,83,62,99,76,96,109,82,101,211,135,113,121,108,107,118,83,14
3103,182,66,84,97,207,185,215,261,290,262,235,244,411,313,202,256,156,204,203,231,45
3104,162,57,106,117,229,220,284,293,416,347,320,325,655,449,310,387,261,268,277,255,51
3105,87,28,73,78,272,132,278,216,251,236,171,170,324,276,162,151,104,92,99,65,17
3106,113,57,74,69,205,180,267,280,302,331,255,304,543,363,311,277,187,187,173,173,44
3107,84,36,74,105,253,174,303,272,375,347,277,241,485,356,254,211,145,102,105,60,11
3108,194,90,131,171,397,281,457,440,517,414,396,369,618,401,274,280,140,125,126,97,21
3109,252,102,155,197,414,307,625,577,645,609,509,483,914,566,434,377,273,207,199,126,16
3111,73,29,52,61,190,135,203,219,297,249,199,229,405,277,195,249,147,104,117,114,15
3113,17,14,27,24,58,63,93,122,139,133,141,162,273,219,192,164,112,138,109,77,15
3114,14,7,9,13,24,22,33,38,50,67,47,39,96,96,75,72,69,66,72,51,16
3115,10,8,3,18,33,19,35,47,57,53,34,71,121,112,83,75,63,47,54,49,4
3116,35,15,37,69,147,111,190,185,271,227,209,212,487,299,165,109,64,61,48,23,3
3121,77,36,78,106,222,156,229,246,305,291,318,313,664,514,457,619,284,293,373,395,27
3122,51,30,55,58,101,93,115,128,149,173,141,143,309,222,176,327,192,189,301,410,52
3123,48,18,29,34,89,68,87,99,138,144,132,110,252,206,140,259,165,185,230,273,29
3124,140,34,75,96,198,171,220,268,335,300,260,261,557,382,321,480,290,351,387,425,65
3125,222,70,117,141,280,207,268,253,325,269,206,217,420,255,206,189,99,104,91,68,7
3126,48,22,25,39,70,71,87,77,103,106,98,95,192,136,103,192,124,133,168,216,35
3127,93,57,74,75,224,176,210,265,340,282,271,264,549,363,326,382,293,317,367,320,47
3128,210,63,104,140,341,239,331,326,395,317,262,281,530,318,247,235,149,137,126,97,8
3129,185,52,126,146,298,249,326,356,435,393,323,289,618,417,292,280,149,159,160,89,9
3130,195,80,167,213,591,420,636,637,789,692,573,566,1142,842,591,495,357,310,282,186,17
3131,125,73,174,213,520,360,531,567,663,554,428,454,806,609,417,297,186,135,118,76,4
3132,93,31,105,137,280,220,314,346,448,418,349,340,655,497,309,291,139,145,102,63,0
3133,143,56,124,140,382,296,436,449,570,470,441,435,843,617,408,336,212,157,145,89,19
3134,175,71,195,274,625,420,638,691,854,739,670,691,1243,899,612,476,270,241,217,147,19
3135,109,62,88,140,410,293,408,448,591,549,439,410,872,608,411,277,135,123,98,57,10
3136,186,103,257,367,976,742,1099,1094,1259,1196,1013,970,1840,1305,749,525,276,236,205,106,15
3137,39,34,81,94,351,226,343,332,405,385,317,323,595,376,185,136,63,55,30,30,6
3138,72,38,102,141,336,272,438,497,635,596,532,472,974,630,360,191,137,105,78,45,9
3139,40,27,83,87,226,176,268,339,389,420,333,340,536,292,151,117,70,46,32,29,8
3140,66,39,78,134,345,274,416,386,488,432,387,325,727,474,232,165,91,74,51,36,13
3141,37,18,35,27,51,47,71,74,105,119,100,94,265,141,124,298,111,137,171,231,39
3142,66,17,17,29,47,41,68,85,84,88,79,78,224,125,100,335,101,138,211,362,85
3143,26,24,18,31,49,56,52,73,66,84,80,60,155,110,87,192,92,97,123,165,22
3144,58,18,26,25,64,72,74,71,102,107,112,88,212,131,108,256,153,163,226,287,38
3145,130,60,96,124,241,210,267,292,320,348,279,295,597,402,348,493,304,322,369,398,46
3146,104,46,86,87,203,182,250,255,317,333,278,315,643,425,374,519,356,396,479,514,62
3147,101,31,85,124,215,157,198,181,264,203,195,174,416,307,240,264,170,197,175,185,16
3148,83,36,64,80,148,81,145,156,206,191,138,174,343,204,130,108,62,63,51,35,0
3149,222,96,157,189,446,322,581,513,676,586,465,487,961,711,466,429,288,254,262,194,40
3150,500,222,291,358,1023,660,1219,1156,1450,1183,1030,987,1918,1383,958,845,496,472,459,376,64
3151,106,48,76,85,235,140,273,209,290,254,197,199,367,213,132,121,80,63,55,42,5
3152,155,76,172,215,554,391,710,705,818,797,661,636,1244,877,553,453,302,227,202,122,19
3153,95,36,130,179,447,330,507,576,632,642,462,499,819,554,253,167,90,42,47,30,5
3154,12,6,15,25,61,48,86,82,118,117,104,101,228,127,69,43,26,13,18,3,0
3155,106,51,155,207,557,401,654,661,799,720,583,518,996,531,315,187,77,55,50,19,0
3156,171,67,160,254,683,459,795,780,1041,959,816,833,1578,1077,675,436,259,190,180,125,15
3158,18,20,33,42,103,85,113,130,177,152,152,160,316,220,139,76,52,41,28,17,3
3159,12,8,9,13,22,30,55,39,53,61,50,70,113,82,44,38,16,15,12,18,0
3160,31,13,45,52,164,97,151,178,254,244,215,218,381,288,157,119,80,47,45,18,9
3161,62,32,71,70,107,99,125,166,175,184,162,164,323,255,200,299,173,169,229,248,40
3162,74,31,79,104,228,168,253,237,311,288,241,242,503,381,325,294,194,254,247,234,29
3163,193,81,163,165,484,298,444,450,566,499,418,468,935,658,483,499,270,285,268,191,18
3165,128,63,128,170,427,342,499,453,552,511,443,457,900,649,461,454,265,256,220,152,4
3166,172,67,167,180,404,257,417,378,547,464,404,412,812,575,410,316,187,168,140,108,3
3167,56,26,57,73,222,108,242,190,221,212,183,181,336,223,181,116,71,54,48,29,4
3168,461,100,135,159,310,242,335,384,436,400,317,283,569,325,160,116,38,45,40,28,7
3169,146,67,145,200,442,243,534,442,529,488,397,397,688,430,239,147,66,56,41,18,9
3170,122,60,107,145,334,222,452,382,504,475,431,377,775,524,345,224,125,110,95,46,12
3171,185,53,179,189,421,299,548,495,559,453,388,346,564,278,145,106,57,37,22,24,3
3172,124,38,118,159,461,322,528,502,669,586,452,410,794,522,288,221,117,93,59,50,0
3173,123,47,131,132,310,238,491,460,666,589,503,501,968,663,382,263,146,104,88,45,9
3174,251,69,259,360,821,513,1003,913,1126,915,768,658,1036,555,253,176,92,39,32,29,13
3175,295,149,385,526,1262,793,1311,1203,1385,1214,919,788,1249,733,369,235,151,82,77,51,17
3177,80,37,115,136,313,193,383,334,385,298,207,152,267,111,55,39,18,12,10,7,3
3178,104,62,103,126,353,256,540,533,756,727,659,656,1421,1039,635,505,313,257,194,116,16
3179,26,15,31,34,86,66,109,141,160,139,140,123,279,154,95,52,31,25,24,14,0
3180,29,10,31,59,131,115,194,196,255,194,179,172,330,171,122,82,41,31,28,18,6
3181,63,11,45,62,127,70,163,148,169,161,159,160,324,228,186,302,136,172,180,207,23
3182,19,11,37,34,72,50,63,67,87,105,80,78,186,129,106,182,93,106,103,154,7
3183,32,9,33,35,93,64,98,102,144,152,144,129,264,202,145,186,112,113,113,159,8
3184,8,12,35,28,67,35,48,66,74,72,80,81,167,108,102,192,109,116,130,207,17
3185,39,17,43,48,100,79,124,122,152,168,111,138,293,182,156,219,125,147,159,199,17
3186,117,55,76,107,207,177,223,234,302,283,252,274,547,327,261,643,330,393,447,618,99
3187,84,44,57,88,224,198,226,215,296,267,241,203,488,324,261,382,254,257,273,258,31
3188,71,30,87,139,259,188,249,251,320,252,208,210,513,311,286,402,278,268,285,285,31
3189,32,24,38,64,122,70,113,109,123,149,99,113,190,145,117,89,62,42,38,14,0
3190,49,26,65,101,245,142,205,200,246,227,193,175,372,290,191,196,104,91,101,73,6
3191,32,7,20,43,124,75,113,111,134,145,124,140,265,191,136,219,160,165,157,191,19
3192,108,52,116,159,436,279,421,481,482,465,350,364,768,571,394,319,185,176,167,66,8
3193,86,40,73,88,240,231,295,300,374,358,287,279,625,455,320,488,314,316,363,334,51
3194,56,31,71,85,239,168,258,228,325,290,235,233,454,315,238,213,116,109,99,66,12
3195,118,57,158,186,472,340,555,544,684,716,635,616,1294,994,721,602,346,350,312,173,26
3196,85,59,140,181,467,305,441,489,559,498,464,438,907,615,390,271,138,133,103,46,11
3197,44,37,58,118,245,162,251,234,301,282,205,240,462,330,191,171,69,90,73,47,13
3198,82,37,143,197,560,324,471,481,650,516,418,362,695,419,226,133,57,38,22,20,0
3199,270,154,403,622,1569,1074,1514,1575,1744,1563,1225,1089,1995,1231,679,484,280,207,189,104,12
3200,46,17,82,119,225,137,242,210,216,166,123,88,127,46,28,15,0,4,0,0,0
3201,83,22,118,173,383,302,487,541,767,677,566,485,861,458,203,123,53,20,17,12,4
3202,22,3,7,8,25,27,38,37,66,58,41,50,107,75,40,47,17,19,30,10,0
3204,174,91,118,162,412,321,456,388,531,493,438,423,903,640,595,572,349,355,349,273,29
3205,41,25,54,70,91,52,73,99,112,90,81,68,204,134,118,185,68,98,107,164,11
3206,47,25,35,43,85,68,112,127,120,143,129,125,258,147,124,366,150,163,214,320,30
3207,32,21,68,93,200,84,152,132,152,148,136,152,322,195,172,305,152,177,202,207,21
3211,7,5,11,4,11,9,16,25,32,30,30,14,44,37,25,22,12,3,3,0,0
3212,75,30,83,114,288,181,361,345,400,451,344,379,686,438,257,132,94,77,49,25,4
3213,14,3,15,18,55,28,84,77,94,95,62,70,152,76,59,47,38,27,18,16,3
3214,150,84,390,542,1019,648,1003,821,845,678,442,356,468,213,79,61,20,15,7,12,0
3215,92,46,201,292,749,390,699,592,652,567,468,446,699,401,246,161,91,64,62,50,6
3216,216,143,339,512,1383,995,1525,1415,1754,1537,1262,1165,2296,1376,846,531,276,279,237,125,16
3217,19,6,16,9,50,51,67,95,157,189,172,194,374,225,116,72,32,26,18,17,5
3218,40,37,104,144,303,229,306,307,364,336,278,281,535,332,201,149,83,62,67,32,4
3219,92,79,213,371,892,530,729,701,782,583,433,401,642,365,172,117,39,38,32,25,0
3220,77,35,107,136,344,242,322,331,437,395,343,315,608,374,295,261,173,171,126,114,14
3221,4,0,0,0,12,6,10,16,13,21,12,6,33,18,11,16,6,7,10,8,4
3222,86,40,93,157,433,281,517,432,482,450,364,298,506,286,158,96,72,55,41,36,10
3223,52,42,85,128,357,220,361,243,299,242,142,133,215,101,66,35,11,20,10,18,0
3224,47,39,87,115,333,252,384,394,458,434,340,334,597,333,168,124,49,36,13,23,0
3225,19,16,28,45,107,91,123,129,153,119,86,80,131,88,55,54,15,30,13,18,0
3226,55,43,95,117,329,277,354,343,449,384,334,331,570,368,223,149,82,66,63,40,0
3227,23,16,17,32,71,51,88,79,106,113,101,101,190,120,76,90,39,49,36,24,0
3228,68,39,77,98,252,211,369,323,469,387,388,373,757,508,311,309,140,120,106,88,3
3230,17,6,20,17,58,40,69,67,101,79,51,65,102,58,25,32,14,15,7,10,5
3231,0,4,12,17,26,32,43,37,47,48,18,24,40,29,19,13,5,14,6,7,0
3232,0,5,10,12,19,14,29,28,41,33,23,25,29,12,12,16,4,6,4,7,0
3233,14,10,22,27,72,59,82,73,80,64,19,37,49,26,8,21,3,7,0,0,0
3234,6,4,6,4,8,3,6,3,3,4,4,0,11,0,7,0,0,0,0,0,0
3235,0,0,0,8,11,5,4,12,13,8,3,9,18,11,4,0,0,4,0,0,0
3236,0,0,6,6,4,14,7,11,16,4,0,4,6,4,0,0,0,0,0,0,0
3237,4,4,3,3,10,3,10,8,8,10,3,4,3,4,0,0,0,0,0,0,0
3238,3,0,3,11,10,3,8,3,3,5,11,8,8,0,0,0,0,0,0,0,0
3239,3,5,9,4,17,11,19,15,18,4,13,10,9,11,3,0,0,0,0,0,0
3240,3,0,8,9,20,25,42,40,64,46,34,50,79,61,44,24,10,14,18,8,0
3241,11,4,28,31,76,39,93,61,99,88,57,53,63,43,19,11,3,9,4,6,0
3242,3,5,3,8,30,8,32,28,35,23,24,28,28,19,10,0,3,8,0,4,0
3243,4,0,5,5,12,8,9,18,10,7,12,14,9,4,8,4,0,0,0,0,0
3249,19,19,28,37,81,47,105,97,132,103,71,68,109,59,27,19,10,7,0,8,0
3250,49,46,126,179,469,306,414,394,434,374,261,255,422,191,116,55,23,27,20,17,0
3251,0,6,0,7,23,9,14,16,19,13,7,9,12,7,4,3,0,5,0,0,0
3254,0,0,5,7,9,3,9,11,8,9,10,10,13,6,0,0,3,0,0,0,0
3260,35,29,44,79,209,92,176,153,177,141,95,74,147,76,28,31,15,8,8,15,0
3264,13,3,25,26,71,50,62,62,90,65,41,44,52,30,13,12,5,4,4,11,0
3265,16,9,15,21,62,42,61,66,82,67,71,60,75,54,30,16,13,3,4,12,4
3266,19,12,22,45,88,53,96,90,121,74,65,62,108,49,28,29,5,7,6,9,0
3267,4,4,0,0,0,3,7,8,10,9,8,5,3,3,0,0,0,0,0,0,0
3268,21,5,28,23,66,48,81,85,107,69,40,55,79,42,18,20,4,8,4,16,3
3269,3,4,7,7,10,13,10,18,12,21,8,12,25,12,11,10,3,11,4,0,0
3270,3,0,6,8,11,5,8,16,15,6,5,3,8,3,0,0,0,0,0,0,0
3271,7,0,0,4,3,4,4,11,4,0,7,5,4,3,0,5,0,0,0,0,0
3272,12,15,14,34,73,41,65,53,46,43,29,29,45,6,13,10,3,0,7,5,0
3273,0,0,0,0,4,4,5,0,6,4,5,0,0,0,0,6,0,0,0,0,0
3274,0,0,0,0,5,3,12,5,0,9,8,10,6,0,0,0,0,0,4,0,0
3275,3,0,0,0,7,5,4,5,12,10,12,8,21,15,11,0,3,0,0,0,0
3276,0,0,4,0,11,9,12,11,14,21,15,14,23,6,0,4,0,0,0,0,0
3277,9,4,12,6,15,28,44,32,49,42,37,50,66,43,25,17,4,9,3,8,0
3278,0,0,4,0,9,4,11,10,14,8,11,0,12,6,7,3,0,4,0,0,0
3279,0,0,0,5,3,0,5,8,17,9,5,7,5,7,0,0,0,0,0,0,0
3280,110,84,267,396,887,645,1000,917,1029,911,710,670,1099,668,314,248,109,93,67,60,5
3281,17,8,7,5,21,20,20,31,44,49,32,44,61,47,24,13,9,9,7,6,0
3282,7,0,20,25,48,40,78,59,66,70,54,61,85,58,18,15,6,8,3,11,3
3283,8,0,8,11,19,18,38,33,48,44,27,28,45,30,23,13,5,9,5,4,0
3284,14,13,26,51,116,82,121,97,110,122,62,74,117,54,35,29,9,17,7,3,0
3285,8,11,4,14,30,16,43,25,39,36,16,30,34,30,24,14,9,4,3,3,0
3286,6,3,6,7,28,9,27,21,27,14,17,13,12,9,3,3,0,0,3,3,0
3287,4,0,0,4,8,4,9,6,14,15,10,5,18,7,0,3,0,0,4,0,0
3289,4,3,8,9,33,24,21,21,28,28,16,18,21,14,5,3,0,4,5,0,0
