postcode,nil,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)"
2105,3,0,14,3,9,11,24,25,32,50,33,23,61,39,25,36,22,37,25,41,4
2106,35,12,26,27,54,55,67,76,109,125,85,106,236,190,156,181,125,108,117,137,27
2107,43,23,42,46,118,97,138,170,251,228,176,213,414,364,259,334,190,213,219,205,27
2108,11,6,12,4,22,9,32,20,34,32,32,29,40,27,20,51,18,20,24,43,3
2109,0,0,9,5,24,14,18,10,21,0,0,0,5,0,0,0,0,0,0,0,0
2110,43,7,18,16,57,44,66,69,89,85,75,80,180,137,108,217,136,164,220,304,59
2111,57,11,41,54,150,66,149,134,180,147,136,150,292,232,217,242,171,196,229,242,30
2112,124,48,97,141,351,228,363,326,387,385,327,347,772,562,436,461,277,269,323,245,54
2113,60,24,59,72,234,138,229,207,283,227,226,203,444,368,288,298,211,210,194,182,23
2114,77,40,82,73,188,94,203,203,297,250,238,216,495,364,311,301,171,179,161,150,22
2115,40,27,78,89,167,108,169,164,235,199,185,182,357,278,173,138,87,62,72,47,15
2116,34,14,45,65,109,74,135,126,156,131,110,111,233,179,111,101,45,44,37,26,7
2117,125,34,120,180,307,205,337,332,416,401,396,357,711,481,355,299,162,136,136,119,22
2118,116,43,86,77,190,196,296,327,400,423,324,356,721,543,371,358,174,180,215,147,19
2119,36,17,37,14,62,73,104,110,155,186,136,170,313,247,194,257,203,238,260,263,41
2120,62,30,56,82,166,159,267,253,347,329,259,302,673,530,439,451,301,329,303,233,20
2121,103,57,62,91,214,163,278,275,386,381,328,318,684,555,417,411,300,325,332,304,63
2122,211,93,164,182,378,295,383,382,544,496,473,460,899,633,508,448,221,231,219,176,32
2123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2125,38,29,47,61,119,107,140,172,232,249,202,192,494,371,348,381,272,283,340,314,62
2126,52,36,37,42,137,115,227,202,275,272,232,276,597,491,403,426,304,329,296,219,40
2127,16,0,15,0,18,16,30,36,48,68,51,47,134,90,88,81,66,71,51,54,3
2128,7,0,5,3,25,9,15,23,27,32,25,23,49,38,14,14,3,0,0,0,0
2130,7,8,16,14,37,26,45,24,49,46,59,35,95,72,69,70,50,50,78,80,7
2131,64,24,43,48,140,73,145,113,160,155,146,128,271,182,160,159,96,86,88,81,6
2132,39,30,38,53,114,75,131,96,129,122,120,121,254,188,167,156,84,104,113,111,11
2133,42,15,38,69,161,74,160,127,193,178,135,139,323,238,189,138,77,87,89,64,6
2134,62,31,26,46,94,62,109,85,136,126,109,96,175,147,111,93,72,74,69,60,18
2135,74,33,50,59,124,111,181,181,218,180,184,169,378,275,231,234,147,186,245,282,94
2136,41,8,33,43,93,49,119,97,103,86,89,91,215,150,107,74,61,59,50,47,7
2137,81,41,82,104,225,98,262,221,294,252,225,243,491,395,338,321,226,228,271,266,34
2138,30,22,39,30,98,58,112,87,125,96,104,94,250,173,129,145,104,107,103,98,15
2140,13,9,8,12,39,25,59,37,71,61,53,52,110,67,47,56,32,29,28,38,12
2141,118,53,116,116,290,213,370,334,462,436,403,330,646,428,328,247,131,120,129,74,20
2142,109,47,114,141,256,208,307,291,363,302,257,228,437,277,177,116,59,60,39,33,7
2143,43,11,40,62,112,93,149,139,183,143,135,102,219,131,98,71,25,38,38,16,3
2144,164,48,134,155,362,256,435,388,491,420,337,265,555,315,176,155,82,51,47,38,9
2145,276,141,303,447,1036,621,1132,1068,1409,1252,1181,1085,2303,1547,1063,857,459,386,354,231,31
2146,78,25,83,133,252,179,315,251,365,350,325,310,710,433,303,238,112,88,81,52,6
2147,165,89,247,341,654,396,715,639,851,806,737,716,1428,998,673,482,253,214,198,97,17
2148,278,105,306,465,958,615,1150,1101,1427,1387,1217,1155,2240,1369,876,493,287,203,215,101,19
2150,38,21,40,60,85,71,110,94,135,121,95,97,207,128,99,76,41,30,34,25,5
2151,60,24,63,109,185,115,198,231,290,279,257,227,493,389,289,240,147,160,122,93,11
2152,52,14,32,45,146,96,146,144,201,176,163,191,341,262,179,151,97,73,67,40,4
2153,171,95,138,150,516,405,721,727,1032,963,818,900,2019,1538,1300,1097,670,675,657,475,70
2154,136,57,102,140,360,243,393,446,615,589,505,520,1229,875,724,752,548,545,566,469,78
2155,124,52,66,96,254,211,410,457,637,674,699,779,1952,1663,1430,1267,778,776,705,482,81
2156,45,16,24,46,109,73,140,153,221,179,147,177,356,303,251,239,186,190,226,206,57
2157,5,9,11,11,46,25,49,52,71,60,56,60,114,78,54,63,24,37,31,52,8
2158,30,10,32,17,76,61,91,80,138,143,107,108,239,183,137,167,101,105,134,128,37
2159,15,10,17,20,60,46,69,67,106,91,84,66,126,120,97,96,64,49,62,59,9
2160,149,57,173,220,516,342,533,489,600,567,447,433,689,469,296,196,144,99,102,70,24
2161,163,69,196,259,513,304,581,528,588,528,407,372,610,439,251,166,93,55,73,33,11
2162,93,49,136,192,392,246,388,353,427,360,276,265,451,306,187,114,79,53,45,33,0
2163,29,20,103,107,165,99,170,161,166,133,95,86,143,67,42,37,17,15,8,9,0
