postcode,installations
3597,56
3599,26
3607,21
3608,488
3610,295
3612,335
3614,181
3616,809
3617,24
3618,124
3619,82
3620,"1,256"
3621,378
3622,72
3623,153
3624,106
3629,"1,148"
3630,"3,264"
3631,"1,932"
3632,51
3633,115
3634,302
3635,110
3636,935
3637,106
3638,383
3639,115
3640,213
3641,235
3643,39
3644,"1,536"
3646,111
3647,2
3649,74
3658,922
3659,139
3660,983
3661,37
3662,6
3663,53
3664,203
3665,76
3666,932
3669,261
3670,121
3671,63
3672,"1,308"
3673,316
3675,374
3676,125
3677,"2,149"
3678,"1,281"
3682,125
3683,308
3685,533
3687,191
3688,259
3689,99
3690,"3,668"
3691,"1,592"
3694,15
3695,88
3697,112
3698,194
3699,122
3700,246
3701,238
3704,6
3705,54
3707,366
3708,12
3709,81
3711,114
3712,52
3713,195
3714,575
3715,55
3717,533
3718,18
3719,95
3720,143
3722,854
3723,533
3724,17
3725,113
3726,91
3727,61
3728,125
3730,"1,667"
3732,114
3733,39
3735,86
3736,33
3737,596
3738,34
3739,38
3740,185
3741,536
3744,80
3746,98
3747,868
3749,479
3750,"1,582"
3751,11
3752,"1,882"
3753,332
3754,"3,727"
3755,30
3756,"1,448"
3757,"1,006"
3758,289
3759,157
3760,52
3761,165
3762,18
3763,256
3764,"1,031"
3765,520
3766,74
3767,47
3770,378
3775,495
3777,"1,169"
3778,32
3779,96
3781,326
3782,677
3783,252
3786,91
3787,40
3788,101
3789,12
3791,89
3792,84
3793,328
3795,170
3796,740
3797,411
3799,604
3802,"2,169"
3803,"1,079"
3804,884
3805,"5,496"
3806,"4,427"
3807,695
3808,322
3809,"1,377"
3810,"4,658"
3812,250
3813,107
3814,271
3815,345
3816,351
3818,"1,910"
3820,"1,823"
3821,412
3822,122
3823,311
3824,576
3825,"2,342"
3831,320
3832,44
3833,52
3835,59
3840,"1,569"
3842,475
3844,"2,811"
3847,304
3850,"1,369"
3851,"1,147"
3852,3
3853,9
3854,170
3856,180
3857,70
3858,481
3859,139
3860,926
3862,509
3864,39
3865,96
3869,256
3870,239
3871,419
3873,59
3874,133
3875,"2,393"
3878,215
3880,640
3882,202
3885,332
3886,57
3887,50
3888,531
3889,27
3890,54
3891,36
3892,247
3893,4
3895,26
3896,52
3898,111
3900,24
3902,64
3903,119
3904,322
3909,"1,196"
3910,"2,043"
3911,388
3912,"1,531"
3913,375
3915,951
3916,182
3918,612
3919,330
3921,66
3922,"1,475"
3923,142
3925,608
3926,492
3927,279
3928,86
3929,221
3930,"1,492"
3931,"2,256"
3933,135
3934,"1,849"
3936,"1,192"
3937,225
3938,383
3939,"1,659"
3940,366
3941,"1,454"
3942,367
3943,343
3944,134
3945,205
3946,45
3950,628
3951,170
3953,"1,000"
3954,66
3956,638
3957,49
3958,30
3959,336
3960,532
3962,188
3964,28
3965,50
3966,86
3967,24
3971,614
3975,"2,112"
3976,"2,314"
3977,"11,324"
3978,"3,674"
3979,55
3980,463
3981,591
3984,990
3987,237
3988,169
3990,25
3991,89
3992,159
3995,"1,561"
3996,"1,042"
4000,222
4001,13
4002,1
4004,7
4005,517
4006,338
4007,714
4008,69
4009,51
4010,171
4011,"1,243"
4012,"1,917"
4013,510
4014,"1,981"
4017,"5,814"
4018,"1,995"
4019,"2,631"
4020,"3,357"
4021,"1,533"
4022,"1,379"
4025,195
4030,"1,270"
4031,"1,258"
4032,"1,290"
4034,"5,941"
4035,"4,864"
4036,"1,182"
4037,"1,496"
4051,"2,620"
4053,"5,409"
4054,"1,961"
4055,"3,627"
4059,803
4060,"1,417"
4061,"2,533"
4062,1
4063,1
4064,904
4065,"1,065"
4066,951
4067,541
4068,"1,813"
4069,"5,245"
4070,"2,244"
4073,"1,679"
4074,"4,367"
4075,"2,823"
4076,777
4077,"3,879"
4078,"4,069"
4101,"1,114"
4102,536
4103,"1,187"
4104,568
4105,"1,371"
4106,295
4107,945
4108,945
4109,"6,274"
4110,"2,311"
4111,131
4112,"1,469"
4113,"4,180"
4114,"2,698"
4115,"3,527"
4116,"4,468"
4117,322
4118,"5,322"
4119,"1,205"
4120,607
4121,"2,959"
4122,"5,403"
4123,"3,736"
4124,"4,500"
4125,"1,778"
4127,"3,859"
4128,"2,970"
4129,"1,127"
4130,"1,681"
4131,"1,315"
4132,"3,236"
4133,"2,883"
4151,"1,296"
4152,"5,885"
4153,718
4154,"1,838"
4155,284
4156,654
4157,"3,593"
4158,515
4159,"2,849"
4160,"3,594"
4161,"3,105"
4163,"2,441"
4164,"3,112"
4165,"7,638"
4169,560
4170,"2,451"
4171,"1,547"
4172,590
4173,"1,409"
4174,454
4178,"3,582"
4179,"2,981"
4183,484
4184,"2,156"
4205,"1,062"
4207,"9,675"
4208,"4,014"
4209,"7,416"
4210,"3,896"
4211,"9,975"
4212,"5,562"
4213,"5,364"
4214,"6,208"
4215,"3,346"
4216,"5,217"
4217,"2,987"
4218,"3,673"
4219,17
4220,"4,036"
4221,"4,091"
4223,"2,486"
4224,657
4225,321
4226,"4,617"
4227,"2,816"
4228,"1,079"
4230,9
4237,1
4270,955
4271,353
4272,"1,149"
4275,755
4276,1
4280,"4,202"
4285,"4,077"
4287,141
4300,"9,087"
4301,"3,962"
4303,453
4304,"2,429"
4305,"9,117"
4306,"8,626"
4307,346
4309,651
4310,"1,348"
4311,"2,216"
4312,829
4313,589
4314,148
4340,"1,053"
4341,"3,529"
4342,573
4343,"1,926"
4344,508
4345,1
4346,254
4347,314
4350,"11,703"
4352,"5,407"
4353,54
4354,259
4355,513
4356,789
4357,436
