postcode,Owned outright,Owned with a mortgage,Being purchased under a shared equity scheme,Rented,Being occupied rent-free,Being occupied under a life tenure scheme,Other tenure type,Not stated,Not applicable,Total
"7304, TAS",1038,622,5,437,61,5,13,177,640,2999
"7305, TAS",196,160,0,67,4,4,0,48,38,516
"7306, TAS",623,490,0,216,22,6,8,108,204,1677
"7307, TAS",1538,1216,5,721,40,26,16,249,663,4469
"7310, TAS",3526,3201,10,2420,57,16,38,598,988,10858
"7315, TAS",2198,1793,4,1038,30,10,9,299,568,5948
"7316, TAS",862,830,3,341,17,0,10,155,217,2439
"7320, TAS",1951,2077,6,1681,34,7,12,365,622,6760
"7321, TAS",702,615,0,210,37,7,7,159,596,2343
"7322, TAS",567,475,0,316,21,0,3,86,145,1616
"7325, TAS",1320,1080,6,659,37,5,13,179,368,3664
"7330, TAS",788,824,0,558,120,5,19,182,412,2910
"7331, TAS",92,60,0,50,5,4,0,16,69,301
"7466, TAS",4,3,0,0,0,0,0,0,7,17
"7467, TAS",374,172,0,162,17,4,5,65,250,1052
"7468, TAS",100,75,0,85,9,0,0,26,156,445
"7469, TAS",128,83,0,83,5,0,0,29,173,502
"7470, TAS",114,54,3,113,13,0,5,34,196,530
"0800, NT",5,5,0,15,0,0,0,4,10,41
"0810, NT",1699,2634,15,2126,61,5,19,724,523,7817
"0812, NT",1090,2009,15,1353,33,3,17,501,378,5392
"0815, NT",0,0,0,0,0,0,0,0,0,0
"0820, NT",641,775,0,742,33,21,12,262,365,2850
"0822, NT",607,812,9,2405,404,4,70,656,1052,6024
"0828, NT",44,24,0,41,8,0,0,22,16,164
"0829, NT",19,7,0,0,0,0,0,6,0,35
"0830, NT",529,2040,21,1816,48,3,13,509,477,5451
"0832, NT",218,1631,8,1559,58,0,7,269,313,4059
"0834, NT",154,262,0,99,6,0,6,67,49,642
"0835, NT",292,458,0,139,12,0,9,118,42,1069
"0836, NT",432,1356,3,324,32,5,5,313,173,2646
"0837, NT",31,45,0,25,10,0,0,24,6,135
"0838, NT",56,120,0,38,3,0,0,40,17,285
"0839, NT",0,3,0,13,0,0,0,6,5,28
"0840, NT",108,48,0,9,10,0,0,17,112,307
"0841, NT",63,129,0,23,12,0,0,42,25,286
"0845, NT",37,39,0,58,13,0,0,27,37,201
"0846, NT",34,19,3,27,10,0,0,13,10,115
"0847, NT",24,11,0,34,11,0,0,11,31,119
"0850, NT",276,607,0,697,62,0,9,392,165,2207
"0852, NT",92,75,0,757,165,3,44,316,335,1790
"0853, NT",0,0,0,175,0,0,0,7,7,191
"0854, NT",16,4,0,95,13,0,0,30,21,180
"0860, NT",104,128,3,314,56,0,6,95,215,922
"0862, NT",8,0,0,82,30,0,7,9,131,260
"0870, NT",832,1794,19,1211,134,0,20,487,457,4972
"0873, NT",117,156,0,188,5,0,7,88,55,615
"0874, NT",5,13,0,11,9,0,0,8,10,54
"0875, NT",59,235,3,164,7,0,0,74,66,604
"0880, NT",28,13,0,683,201,0,13,132,255,1328
"0885, NT",0,0,0,164,52,0,4,14,68,300
"0886, NT",0,0,0,168,41,0,0,47,61,324
"2600, ACT",772,443,0,254,20,0,5,68,243,1815
"2601, ACT",0,0,0,0,0,0,0,0,0,0
"2602, ACT",2565,2389,5,1899,69,12,20,397,577,7928
"2603, ACT",861,626,0,255,16,4,12,76,217,2062
"2604, ACT",453,555,0,556,19,4,8,130,163,1887
"2605, ACT",1399,1085,0,500,22,3,15,174,261,3460
"2606, ACT",663,522,0,396,7,0,8,94,144,1832
"2607, ACT",1674,1332,4,593,30,4,11,123,312,4085
