,0
1012,3450
1013,3451
1014,3453
1015,3458
1016,3460
1017,3461
1018,3462
1019,3463
1020,3464
1021,3465
1022,3467
1023,3468
1024,3469
1025,3472
1026,3475
1027,3477
1028,3478
1029,3480
1030,3482
1031,3483
1032,3485
1033,3487
1034,3488
1035,3489
1036,3490
1037,3491
1038,3494
1039,3496
1040,3498
1041,3500
1042,3501
1043,3505
1044,3506
1045,3507
1046,3509
1047,3512
1048,3515
1049,3516
1050,3517
1051,3518
1052,3520
1053,3521
1054,3522
1055,3523
1056,3525
1057,3527
1058,3529
1059,3530
1060,3531
1061,3533
1062,3537
1063,3540
1064,3542
1065,3544
1066,3546
1067,3549
1068,3550
1069,3551
1070,3555
1071,3556
1072,3557
1073,3558
1074,3559
1075,3561
1076,3562
1077,3563
1078,3564
1079,3565
1080,3566
1081,3567
1082,3568
1083,3570
1084,3571
1085,3572
1086,3573
1087,3575
1088,3576
1089,3579
1090,3580
1091,3581
1092,3583
1093,3584
1094,3585
1095,3586
1096,3588
1097,3589
1098,3590
1099,3591
1100,3594
1101,3595
1102,3596
1103,3597
1104,3599
1105,3607
1106,3608
1107,3610
1108,3612
1109,3614
1110,3616
1111,3617
1112,3618
1113,3620
1114,3621
1115,3622
1116,3623
1117,3624
1118,3629
1119,3630
1120,3631
1121,3633
1122,3634
1123,3635
1124,3636
1125,3637
1126,3638
1127,3639
1128,3640
1129,3641
1130,3644
1131,3646
1132,3647
1133,3649
1134,3658
1135,3659
1136,3660
1137,3662
1138,3663
1139,3664
1140,3665
1141,3666
1142,3669
1143,3670
1144,3672
1145,3673
1146,3675
1147,3677
1148,3678
1149,3682
1150,3683
1151,3685
1152,3687
1153,3688
1154,3690
1155,3691
1156,3694
1157,3695
1158,3697
1159,3698
1160,3699
1161,3700
1162,3701
1163,3704
1164,3705
1165,3707
1166,3708
1167,3709
1168,3711
1169,3712
1170,3713
1171,3714
1172,3715
1173,3717
1174,3718
1175,3719
1176,3720
1177,3722
1178,3723
1179,3725
1180,3726
1181,3727
1182,3728
1183,3730
1184,3732
1185,3733
1186,3735
1187,3737
1188,3738
1189,3739
1190,3740
1191,3741
1192,3744
1193,3746
1194,3747
1195,3749
1196,3750
1197,3751
1198,3752
1199,3753
1200,3754
1201,3755
1202,3756
1203,3757
1204,3758
1205,3759
1206,3760
1207,3761
1208,3762
1209,3763
1210,3764
1211,3765
1212,3766
1213,3767
1214,3770
1215,3775
1216,3777
1217,3778
1218,3779
1219,3781
1220,3782
1221,3783
1222,3786
1223,3787
1224,3788
1225,3789
1226,3791
1227,3792
1228,3793
1229,3795
1230,3796
1231,3797
1232,3799
1233,3802
1234,3803
1235,3804
1236,3805
1237,3806
1238,3807
1239,3808
1240,3809
1241,3810
1242,3812
1243,3813
1244,3814
1245,3815
1246,3816
1247,3818
1248,3820
1249,3821
1250,3822
1251,3823
1252,3824
1253,3825
1254,3831
