postcode,installations,households,installRate,income,ownership,solar
2042,464,5270.985397653194,0.08802908090137893,"$2,070",0.5690744920993228,14.6
2043,117,1721.019523809524,0.06798295915959006,"$2,482",0.5948334466349422,14.6
2044,359,2639.9969811320757,0.1359850039851389,"$2,092",0.7214411247803163,14.9
2045,238,2145.96917562724,0.11090560046391885,"$2,164",0.8731656184486373,14.6
2046,764,6483.970757800891,0.11782903232264405,"$2,098",0.8075637642919965,14.6
2047,236,2202.8794140323826,0.10713250961295277,"$2,353",0.824607329842932,14.6
2048,195,2011.9469141531322,0.0969210462901698,"$2,179",0.7048808172531215,14.6
2049,295,2528.962895927602,0.11664860740940074,"$1,968",0.7475022706630337,14.9
2050,146,1117.035140186916,0.13070313971999978,"$1,782",0.5917525773195876,14.6
2060,164,2178.101863354037,0.07529491745048969,"$2,316",0.7013774104683196,14.6
2061,21,290.81102362204723,0.0722118430671757,"$2,415",0.7803921568627451,14.6
2062,137,1338.9970238095239,0.10231538798363203,"$2,361",0.7601351351351351,14.6
2063,329,1897.0238870792616,0.17342955048739125,"$3,344",0.8645584725536993,14.6
2064,235,1226.0119205298013,0.19167839730175587,"$2,183",0.7987421383647799,14.6
2065,549,4719.969669792092,0.11631430674514964,"$2,416",0.7776166304085086,14.6
2066,1112,6431.98871857756,0.17288587537291575,"$2,344",0.844340440284278,14.6
2067,563,3937.9719676549867,0.1429669902742501,"$1,909",0.7958417557031475,14.6
2068,740,5006.027267093576,0.14782180769655154,"$2,735",0.847427293064877,14.6
2069,631,4113.994400193097,0.1533789156276885,"$2,846",0.8771691973969631,14.6
2070,578,3361.9875841874086,0.171922110217936,"$2,628",0.8751229105211407,14.6
2071,498,3256.993664331404,0.15290174047735813,"$2,532",0.8805868304332992,14.6
2072,235,1695.9797701149425,0.13856297353362487,"$2,313",0.8315719947159842,14.6
2073,689,4866.9904181892,0.14156592489375552,"$3,010",0.8903429602888087,14.6
2074,1064,6509.991248860529,0.16344107992253237,"$2,531",0.893895595987077,14.6
2075,820,6067.03509979353,0.13515662700351044,"$2,542",0.9008667388949079,14.6
2076,1035,7296.010554089709,0.1418583474252022,"$2,469",0.8683892414626776,14.6
2077,1312,7623.987196695922,0.1720884317025865,"$1,807",0.8187262635115395,14.6
