postcode,outright,mortgage,rent
2758,980,1414,212
2759,2292,4036,1426
2760,2304,3788,3791
2761,1500,4715,2059
2762,363,718,385
2763,1967,4345,2267
2765,1585,1515,1139
2766,1057,1813,1228
2767,1403,2853,2133
2768,1665,4509,1524
2769,338,2203,667
2770,3572,4846,7444
2773,900,835,263
2774,1718,1975,682
2775,226,204,81
2776,536,646,206
2777,2415,2685,931
2778,329,461,83
2779,658,849,271
2780,2032,1632,1250
2782,1099,778,468
2783,353,422,177
2784,163,231,69
2785,859,595,450
2786,217,165,101
2787,644,475,334
2790,2426,1662,1505
2791,59,34,21
2792,73,45,21
2793,194,97,48
2794,1591,1074,975
2795,4837,4964,3980
2797,69,67,21
2798,259,294,107
2799,526,489,358
2800,5028,5406,4700
2803,64,31,9
2804,463,289,209
2805,81,51,16
2806,149,89,62
2807,91,44,14
2808,44,23,4
2809,38,19,12
2810,634,311,259
2817,58,31,20
2818,123,127,35
2820,881,562,616
2821,627,529,417
2822,68,60,18
2823,226,116,130
2824,328,184,234
2825,345,190,262
2826,42,12,13
2827,562,328,376
2828,126,51,96
2829,410,249,297
2830,3996,4851,3774
2831,267,224,120
2832,195,111,324
2833,75,25,98
2834,397,95,276
2835,453,383,480
2836,98,23,132
2838,23,4,66
2839,110,38,230
2840,239,181,322
2842,124,67,40
2843,188,111,121
2844,242,105,122
2845,147,160,142
2846,65,26,13
2847,354,255,107
2848,312,135,189
2849,317,131,131
2850,2187,2026,1701
2852,469,385,299
2864,143,97,37
2865,136,107,49
2866,411,335,239
2867,99,62,52
2868,115,52,65
2869,266,110,139
2870,1454,1327,1090
2871,1278,1007,820
2873,109,42,47
2874,90,38,27
2875,161,93,71
2876,68,37,20
2877,529,340,404
2878,54,11,34
2879,103,20,80
2880,3114,2162,1634
2898,52,32,52
3000,16,12,28
3002,279,107,164
3003,116,150,295
3004,5,3,13
3006,35,37,108
3008,26,39,40
3011,1163,1636,1961
3012,1998,2814,2787
3013,1486,1994,1437
3015,1736,2464,1653
3016,1927,1794,1010
3018,1984,1367,1223
3019,589,766,1367
3020,5000,3944,3914
3021,6254,4639,4459
3022,358,315,329
3023,4417,9331,4027
3024,1186,4018,2026
3025,1677,1138,1116
3026,6,0,5
3027,168,1141,616
3028,3337,3448,2724
3029,5365,13735,6937
3030,6655,14588,9313
3031,1035,1446,1802
3032,2461,2685,1954
3033,2376,1620,887
3034,2126,1049,746
3036,974,738,229
3037,3848,7840,2613
3038,4008,3142,1165
3039,1590,1358,900
3040,2860,2353,1617
